id,utterance,intent,slots,tool_name,tool_arguments,risk_level,requires_confirmation,expected_result,source,language,domain
e3b78d220a46,i need you to schedule project review this weekend at 7 pm,create_calendar_event,"{""date"": ""this weekend"", ""time"": ""at 7 pm"", ""title"": ""project review""}",create_calendar_event,"{""date"": ""this weekend"", ""time"": ""at 7 pm"", ""title"": ""project review""}",medium,True,Calendar event confirmation required,synthetic_paraphrase_wrapper,en,laptop_assistant
06c66dd4f8e6,i need you to look up how to use Whisper locally quickly,search_web,"{""query"": ""how to use Whisper locally""}",search_web,"{""query"": ""how to use Whisper locally""}",low,False,Web search opened for how to use Whisper locally,synthetic_paraphrase_wrapper,en,laptop_assistant
29b62823d7fe,can you volume 55 percent when possible,set_volume,"{""level"": 55}",set_system_volume,"{""level"": 55}",low,False,Volume set to 55%,synthetic_paraphrase_wrapper,en,laptop_assistant
27610ed95620,turn on bedroom AC,smart_home_on,"{""device"": ""AC"", ""room"": ""bedroom"", ""state"": ""on""}",control_smart_home_device,"{""device"": ""AC"", ""room"": ""bedroom"", ""state"": ""on""}",medium,False,Smart home device turned on,synthetic_template,en,laptop_assistant
f0a477836963,can you find budget files in Videos please,search_files,"{""file_type"": ""zip"", ""folder"": ""Videos"", ""query"": ""budget""}",search_files,"{""file_type"": ""zip"", ""folder"": ""Videos"", ""query"": ""budget""}",low,False,Search results for budget,synthetic_paraphrase_wrapper,en,laptop_assistant
4a9aff9331aa,hey jarvis jarvis set sound to 20 when possible,set_volume,"{""level"": 20}",set_system_volume,"{""level"": 20}",low,False,Volume set to 20%,synthetic_paraphrase_wrapper,en,laptop_assistant
823d1b8397c9,can you schedule birthday call next week tomorrow morning right now,create_calendar_event,"{""date"": ""next week"", ""time"": ""tomorrow morning"", ""title"": ""birthday call""}",create_calendar_event,"{""date"": ""next week"", ""time"": ""tomorrow morning"", ""title"": ""birthday call""}",medium,True,Calendar event confirmation required,synthetic_paraphrase_wrapper,en,laptop_assistant
38d218c0d73b,i need you to show me txt files related to meeting please,search_files,"{""file_type"": ""txt"", ""folder"": ""Desktop"", ""query"": ""meeting""}",search_files,"{""file_type"": ""txt"", ""folder"": ""Desktop"", ""query"": ""meeting""}",low,False,Search results for meeting,synthetic_paraphrase_wrapper,en,laptop_assistant
62dcc245ef4f,i need you to schedule study session on Friday at 9:30 am when possible,create_calendar_event,"{""date"": ""on Friday"", ""time"": ""at 9:30 am"", ""title"": ""study session""}",create_calendar_event,"{""date"": ""on Friday"", ""time"": ""at 9:30 am"", ""title"": ""study session""}",medium,True,Calendar event confirmation required,synthetic_paraphrase_wrapper,en,laptop_assistant
409cc48c45a8,please switch on the AC in the study room right now,smart_home_on,"{""device"": ""AC"", ""room"": ""study room"", ""state"": ""on""}",control_smart_home_device,"{""device"": ""AC"", ""room"": ""study room"", ""state"": ""on""}",medium,False,Smart home device turned on,synthetic_paraphrase_wrapper,en,laptop_assistant
1e3513ed7aea,can you search for invoice pptx files in Videos quickly,search_files,"{""file_type"": ""pptx"", ""folder"": ""Videos"", ""query"": ""invoice""}",search_files,"{""file_type"": ""pptx"", ""folder"": ""Videos"", ""query"": ""invoice""}",low,False,Search results for invoice,synthetic_paraphrase_wrapper,en,laptop_assistant
7c34a71c687a,hey jarvis make the volume 65 right now,set_volume,"{""level"": 65}",set_system_volume,"{""level"": 65}",low,False,Volume set to 65%,synthetic_paraphrase_wrapper,en,laptop_assistant
9936849a9700,please write a note titled today's tasks right now,create_note,"{""title"": ""today's tasks""}",create_note,"{""content"": """", ""title"": ""today's tasks""}",low,False,Note today's tasks created,synthetic_paraphrase_wrapper,en,laptop_assistant
767af23ed7ff,i need you to set timer for 15 minutes when possible,start_timer,"{""duration"": ""15 minutes""}",start_timer,"{""duration"": ""15 minutes""}",low,False,Timer set for 15 minutes,synthetic_paraphrase_wrapper,en,laptop_assistant
fb71ca42026d,could you bring Notepad to the front for me,switch_app,"{""app"": ""notepad"", ""display_name"": ""Notepad""}",switch_application,"{""app"": ""notepad""}",low,False,Notepad handled,synthetic_paraphrase_wrapper,en,laptop_assistant
2fe023978812,can you search web for Python file automation tutorial for me,search_web,"{""query"": ""Python file automation tutorial""}",search_web,"{""query"": ""Python file automation tutorial""}",low,False,Web search opened for Python file automation tutorial,synthetic_paraphrase_wrapper,en,laptop_assistant
4f8bfe92a8db,schedule class lecture on Friday in 20 minutes,create_calendar_event,"{""date"": ""on Friday"", ""time"": ""in 20 minutes"", ""title"": ""class lecture""}",create_calendar_event,"{""date"": ""on Friday"", ""time"": ""in 20 minutes"", ""title"": ""class lecture""}",medium,True,Calendar event confirmation required,synthetic_template,en,laptop_assistant
521847bc5794,open the Music directory,open_folder,"{""folder"": ""Music""}",open_folder,"{""folder"": ""Music""}",low,False,Music folder opened,synthetic_template,en,laptop_assistant
ca6679094647,i need you to start playing Arijit Singh please,play_music,"{""query"": ""Arijit Singh""}",play_music,"{""query"": ""Arijit Singh""}",low,False,Playing Arijit Singh,synthetic_paraphrase_wrapper,en,laptop_assistant
47042f8d9b4c,jarvis open the notes file for me,open_file,"{""file_name"": ""notes.docx""}",open_file,"{""file_name"": ""notes.docx""}",medium,False,notes.docx opened,synthetic_paraphrase_wrapper,en,laptop_assistant
21684f9a5096,please look for budget documents right now,search_files,"{""file_type"": ""py"", ""folder"": ""Projects"", ""query"": ""budget""}",search_files,"{""file_type"": ""py"", ""folder"": ""Projects"", ""query"": ""budget""}",low,False,Search results for budget,synthetic_paraphrase_wrapper,en,laptop_assistant
136b3847b465,volume 75 percent,set_volume,"{""level"": 75}",set_system_volume,"{""level"": 75}",low,False,Volume set to 75%,synthetic_template,en,laptop_assistant
192c565d7436,could you look for meeting documents right now,search_files,"{""file_type"": ""png"", ""folder"": ""Desktop"", ""query"": ""meeting""}",search_files,"{""file_type"": ""png"", ""folder"": ""Desktop"", ""query"": ""meeting""}",low,False,Search results for meeting,synthetic_paraphrase_wrapper,en,laptop_assistant
2dc5079bf68b,schedule team meeting on 25 June tonight,create_calendar_event,"{""date"": ""on 25 June"", ""time"": ""tonight"", ""title"": ""team meeting""}",create_calendar_event,"{""date"": ""on 25 June"", ""time"": ""tonight"", ""title"": ""team meeting""}",medium,True,Calendar event confirmation required,synthetic_template,en,laptop_assistant
dd5846707de0,find project report files in Desktop,search_files,"{""file_type"": ""png"", ""folder"": ""Desktop"", ""query"": ""project report""}",search_files,"{""file_type"": ""png"", ""folder"": ""Desktop"", ""query"": ""project report""}",low,False,Search results for project report,synthetic_template,en,laptop_assistant
4fb4140f8ef6,find budget files in Music,search_files,"{""file_type"": ""zip"", ""folder"": ""Music"", ""query"": ""budget""}",search_files,"{""file_type"": ""zip"", ""folder"": ""Music"", ""query"": ""budget""}",low,False,Search results for budget,synthetic_template,en,laptop_assistant
f1d62dfcc7bd,can you search for meeting docx files in Pictures right now,search_files,"{""file_type"": ""docx"", ""folder"": ""Pictures"", ""query"": ""meeting""}",search_files,"{""file_type"": ""docx"", ""folder"": ""Pictures"", ""query"": ""meeting""}",low,False,Search results for meeting,synthetic_paraphrase_wrapper,en,laptop_assistant
45b8ecf1716a,please show me png files related to assignment when possible,search_files,"{""file_type"": ""png"", ""folder"": ""Documents"", ""query"": ""assignment""}",search_files,"{""file_type"": ""png"", ""folder"": ""Documents"", ""query"": ""assignment""}",low,False,Search results for assignment,synthetic_paraphrase_wrapper,en,laptop_assistant
511050d912e7,open assignment.py,open_file,"{""file_name"": ""assignment.py""}",open_file,"{""file_name"": ""assignment.py""}",medium,False,assignment.py opened,synthetic_template,en,laptop_assistant
2f74b3144619,please show my Projects folder right now,open_folder,"{""folder"": ""Projects""}",open_folder,"{""folder"": ""Projects""}",low,False,Projects folder opened,synthetic_paraphrase_wrapper,en,laptop_assistant
edda86e6299e,jarvis take me to Projects,open_folder,"{""folder"": ""Projects""}",open_folder,"{""folder"": ""Projects""}",low,False,Projects folder opened,synthetic_paraphrase_wrapper,en,laptop_assistant
b0a3d87de028,please show me txt files related to budget for me,search_files,"{""file_type"": ""txt"", ""folder"": ""Videos"", ""query"": ""budget""}",search_files,"{""file_type"": ""txt"", ""folder"": ""Videos"", ""query"": ""budget""}",low,False,Search results for budget,synthetic_paraphrase_wrapper,en,laptop_assistant
83c9a2f5388b,open the project report file,open_file,"{""file_name"": ""project_report.txt""}",open_file,"{""file_name"": ""project_report.txt""}",medium,False,project_report.txt opened,synthetic_template,en,laptop_assistant
c77878927739,i need you to find notes files in Projects,search_files,"{""file_type"": ""pdf"", ""folder"": ""Projects"", ""query"": ""notes""}",search_files,"{""file_type"": ""pdf"", ""folder"": ""Projects"", ""query"": ""notes""}",low,False,Search results for notes,synthetic_paraphrase_wrapper,en,laptop_assistant
c262b98ba2bb,show me jpg files related to invoice quickly,search_files,"{""file_type"": ""jpg"", ""folder"": ""Videos"", ""query"": ""invoice""}",search_files,"{""file_type"": ""jpg"", ""folder"": ""Videos"", ""query"": ""invoice""}",low,False,Search results for invoice,synthetic_paraphrase_wrapper,en,laptop_assistant
8d660fbe1d07,could you send an email to Mom saying I will share the resume soon for me,send_email,"{""message"": ""I will share the resume soon"", ""recipient"": ""Mom""}",send_email,"{""message"": ""I will share the resume soon"", ""recipient"": ""Mom""}",high,True,Send email confirmation required,synthetic_paraphrase_wrapper,en,laptop_assistant
b1bac9c1703c,shut down Visual Studio Code,close_app,"{""app"": ""vscode"", ""display_name"": ""Visual Studio Code""}",close_application,"{""app"": ""vscode""}",medium,False,Visual Studio Code handled,synthetic_template,en,laptop_assistant
d4bb3ae33854,search for invoice docx files in Videos,search_files,"{""file_type"": ""docx"", ""folder"": ""Videos"", ""query"": ""invoice""}",search_files,"{""file_type"": ""docx"", ""folder"": ""Videos"", ""query"": ""invoice""}",low,False,Search results for invoice,synthetic_template,en,laptop_assistant
0004a1537bcc,search for project report pdf files in Pictures,search_files,"{""file_type"": ""pdf"", ""folder"": ""Pictures"", ""query"": ""project report""}",search_files,"{""file_type"": ""pdf"", ""folder"": ""Pictures"", ""query"": ""project report""}",low,False,Search results for project report,synthetic_template,en,laptop_assistant
1243baddee37,please switch on the TV in the bedroom when possible,smart_home_on,"{""device"": ""TV"", ""room"": ""bedroom"", ""state"": ""on""}",control_smart_home_device,"{""device"": ""TV"", ""room"": ""bedroom"", ""state"": ""on""}",medium,False,Smart home device turned on,synthetic_paraphrase_wrapper,en,laptop_assistant
08d974456382,find presentation files in Downloads,search_files,"{""file_type"": ""py"", ""folder"": ""Downloads"", ""query"": ""presentation""}",search_files,"{""file_type"": ""py"", ""folder"": ""Downloads"", ""query"": ""presentation""}",low,False,Search results for presentation,synthetic_template,en,laptop_assistant
6584cdeae901,jarvis take me to Pictures please,open_folder,"{""folder"": ""Pictures""}",open_folder,"{""folder"": ""Pictures""}",low,False,Pictures folder opened,synthetic_paraphrase_wrapper,en,laptop_assistant
4fb8a1db77ac,hey jarvis set volume to 100 percent right now,set_volume,"{""level"": 100}",set_system_volume,"{""level"": 100}",low,False,Volume set to 100%,synthetic_paraphrase_wrapper,en,laptop_assistant
7d06ea620b6a,show me png files related to notes,search_files,"{""file_type"": ""png"", ""folder"": ""Downloads"", ""query"": ""notes""}",search_files,"{""file_type"": ""png"", ""folder"": ""Downloads"", ""query"": ""notes""}",low,False,Search results for notes,synthetic_template,en,laptop_assistant
b58934cef292,schedule team meeting on Friday at 7 pm,create_calendar_event,"{""date"": ""on Friday"", ""time"": ""at 7 pm"", ""title"": ""team meeting""}",create_calendar_event,"{""date"": ""on Friday"", ""time"": ""at 7 pm"", ""title"": ""team meeting""}",medium,True,Calendar event confirmation required,synthetic_template,en,laptop_assistant
025e58329b0c,could you turn brightness up by 20 for me,increase_brightness,"{""delta"": 20}",adjust_screen_brightness,"{""delta"": 20, ""direction"": ""up""}",low,False,Brightness increased by 20%,synthetic_paraphrase_wrapper,en,laptop_assistant
5e32b360f356,please show me resume.jpg for me,open_file,"{""file_name"": ""resume.jpg""}",open_file,"{""file_name"": ""resume.jpg""}",medium,False,resume.jpg opened,synthetic_paraphrase_wrapper,en,laptop_assistant
63be08088461,i need you to search for presentation py files in Videos,search_files,"{""file_type"": ""py"", ""folder"": ""Videos"", ""query"": ""presentation""}",search_files,"{""file_type"": ""py"", ""folder"": ""Videos"", ""query"": ""presentation""}",low,False,Search results for presentation,synthetic_paraphrase_wrapper,en,laptop_assistant
c7f9c64fa854,hey jarvis look for assignment documents please,search_files,"{""file_type"": ""py"", ""folder"": ""Projects"", ""query"": ""assignment""}",search_files,"{""file_type"": ""py"", ""folder"": ""Projects"", ""query"": ""assignment""}",low,False,Search results for assignment,synthetic_paraphrase_wrapper,en,laptop_assistant
5a8e24b4c5b6,can you i want to use Notepad right now,open_app,"{""app"": ""notepad"", ""display_name"": ""Notepad""}",open_application,"{""app"": ""notepad""}",low,False,Notepad handled,synthetic_paraphrase_wrapper,en,laptop_assistant
687a6da3fb64,jarvis turn off kitchen TV when possible,smart_home_off,"{""device"": ""TV"", ""room"": ""kitchen"", ""state"": ""off""}",control_smart_home_device,"{""device"": ""TV"", ""room"": ""kitchen"", ""state"": ""off""}",medium,False,Smart home device turned off,synthetic_paraphrase_wrapper,en,laptop_assistant
fe433c5d8fb0,could you decrease volume by 5 percent,decrease_volume,"{""delta"": 5}",adjust_system_volume,"{""delta"": 5, ""direction"": ""down""}",low,False,Volume decreased by 5%,synthetic_paraphrase_wrapper,en,laptop_assistant
524ad47a53bb,please remind me to check email at 7 pm quickly,set_reminder,"{""task"": ""check email"", ""time"": ""at 7 pm""}",set_reminder,"{""task"": ""check email"", ""time"": ""at 7 pm""}",low,False,Reminder created,synthetic_paraphrase_wrapper,en,laptop_assistant
36264e381abc,hey jarvis show me pdf files related to script please,search_files,"{""file_type"": ""pdf"", ""folder"": ""Videos"", ""query"": ""script""}",search_files,"{""file_type"": ""pdf"", ""folder"": ""Videos"", ""query"": ""script""}",low,False,Search results for script,synthetic_paraphrase_wrapper,en,laptop_assistant
28ce8b8b8479,i need you to enable study room AC right now,smart_home_on,"{""device"": ""AC"", ""room"": ""study room"", ""state"": ""on""}",control_smart_home_device,"{""device"": ""AC"", ""room"": ""study room"", ""state"": ""on""}",medium,False,Smart home device turned on,synthetic_paraphrase_wrapper,en,laptop_assistant
a77290518cc0,jarvis add add this to my todo list to shopping list right now,append_note,"{""content"": ""add this to my todo list"", ""title"": ""shopping list""}",append_to_note,"{""content"": ""add this to my todo list"", ""title"": ""shopping list""}",low,False,Note shopping list updated,synthetic_paraphrase_wrapper,en,laptop_assistant
79cdddce33e1,could you search for notes pdf files in Downloads,search_files,"{""file_type"": ""pdf"", ""folder"": ""Downloads"", ""query"": ""notes""}",search_files,"{""file_type"": ""pdf"", ""folder"": ""Downloads"", ""query"": ""notes""}",low,False,Search results for notes,synthetic_paraphrase_wrapper,en,laptop_assistant
cdf66730d2c8,i need you to play some Sikkim travel songs quickly,play_music,"{""query"": ""Sikkim travel songs""}",play_music,"{""query"": ""Sikkim travel songs""}",low,False,Playing Sikkim travel songs,synthetic_paraphrase_wrapper,en,laptop_assistant
9b42ce6bf883,hey jarvis set volume to 20 percent for me,set_volume,"{""level"": 20}",set_system_volume,"{""level"": 20}",low,False,Volume set to 20%,synthetic_paraphrase_wrapper,en,laptop_assistant
8c9c78d1891a,please bring up Discord when possible,open_app,"{""app"": ""discord"", ""display_name"": ""Discord""}",open_application,"{""app"": ""discord""}",low,False,Discord handled,synthetic_paraphrase_wrapper,en,laptop_assistant
502f4611ce5f,look up weather in Gurgaon,search_web,"{""query"": ""weather in Gurgaon""}",search_web,"{""query"": ""weather in Gurgaon""}",low,False,Web search opened for weather in Gurgaon,synthetic_template,en,laptop_assistant
e9b58b1fd450,i need you to show me png files related to project report for me,search_files,"{""file_type"": ""png"", ""folder"": ""Desktop"", ""query"": ""project report""}",search_files,"{""file_type"": ""png"", ""folder"": ""Desktop"", ""query"": ""project report""}",low,False,Search results for project report,synthetic_paraphrase_wrapper,en,laptop_assistant
b67800aa8eaf,make it 5 percent louder,increase_volume,"{""delta"": 5}",adjust_system_volume,"{""delta"": 5, ""direction"": ""up""}",low,False,Volume increased by 5%,synthetic_template,en,laptop_assistant
ce4558efff58,search for budget zip files in Pictures,search_files,"{""file_type"": ""zip"", ""folder"": ""Pictures"", ""query"": ""budget""}",search_files,"{""file_type"": ""zip"", ""folder"": ""Pictures"", ""query"": ""budget""}",low,False,Search results for budget,synthetic_template,en,laptop_assistant
8c2c32def996,could you open budget.zip,open_file,"{""file_name"": ""budget.zip""}",open_file,"{""file_name"": ""budget.zip""}",medium,False,budget.zip opened,synthetic_paraphrase_wrapper,en,laptop_assistant
cc3001bf37c0,could you send an email to Rahul saying I will share the assignment submission soon quickly,send_email,"{""message"": ""I will share the assignment submission soon"", ""recipient"": ""Rahul""}",send_email,"{""message"": ""I will share the assignment submission soon"", ""recipient"": ""Rahul""}",high,True,Send email confirmation required,synthetic_paraphrase_wrapper,en,laptop_assistant
11b0b6d7eca3,create a note called meeting points,create_note,"{""title"": ""meeting points""}",create_note,"{""content"": """", ""title"": ""meeting points""}",low,False,Note meeting points created,synthetic_template,en,laptop_assistant
0e194b46ef22,i need you to look for notes documents,search_files,"{""file_type"": ""docx"", ""folder"": ""Screenshots"", ""query"": ""notes""}",search_files,"{""file_type"": ""docx"", ""folder"": ""Screenshots"", ""query"": ""notes""}",low,False,Search results for notes,synthetic_paraphrase_wrapper,en,laptop_assistant
979a7f3c4912,remind me to call mom in 20 minutes,set_reminder,"{""task"": ""call mom"", ""time"": ""in 20 minutes""}",set_reminder,"{""task"": ""call mom"", ""time"": ""in 20 minutes""}",low,False,Reminder created,synthetic_template,en,laptop_assistant
c492ae62a847,please look for script documents please,search_files,"{""file_type"": ""pptx"", ""folder"": ""Desktop"", ""query"": ""script""}",search_files,"{""file_type"": ""pptx"", ""folder"": ""Desktop"", ""query"": ""script""}",low,False,Search results for script,synthetic_paraphrase_wrapper,en,laptop_assistant
6c5f1faaca06,can you search for notes jpg files in Music when possible,search_files,"{""file_type"": ""jpg"", ""folder"": ""Music"", ""query"": ""notes""}",search_files,"{""file_type"": ""jpg"", ""folder"": ""Music"", ""query"": ""notes""}",low,False,Search results for notes,synthetic_paraphrase_wrapper,en,laptop_assistant
8898a8b40de8,look for assignment documents,search_files,"{""file_type"": ""py"", ""folder"": ""Projects"", ""query"": ""assignment""}",search_files,"{""file_type"": ""py"", ""folder"": ""Projects"", ""query"": ""assignment""}",low,False,Search results for assignment,synthetic_template,en,laptop_assistant
43101d11de5d,please show me txt files related to budget right now,search_files,"{""file_type"": ""txt"", ""folder"": ""Desktop"", ""query"": ""budget""}",search_files,"{""file_type"": ""txt"", ""folder"": ""Desktop"", ""query"": ""budget""}",low,False,Search results for budget,synthetic_paraphrase_wrapper,en,laptop_assistant
1271ed536c46,could you schedule team meeting on 25 June at 7 pm quickly,create_calendar_event,"{""date"": ""on 25 June"", ""time"": ""at 7 pm"", ""title"": ""team meeting""}",create_calendar_event,"{""date"": ""on 25 June"", ""time"": ""at 7 pm"", ""title"": ""team meeting""}",medium,True,Calendar event confirmation required,synthetic_paraphrase_wrapper,en,laptop_assistant
64afce06e449,hey jarvis add add this to my todo list to project bugs quickly,append_note,"{""content"": ""add this to my todo list"", ""title"": ""project bugs""}",append_to_note,"{""content"": ""add this to my todo list"", ""title"": ""project bugs""}",low,False,Note project bugs updated,synthetic_paraphrase_wrapper,en,laptop_assistant
967e8d9537e5,find photo files in Projects,search_files,"{""file_type"": ""zip"", ""folder"": ""Projects"", ""query"": ""photo""}",search_files,"{""file_type"": ""zip"", ""folder"": ""Projects"", ""query"": ""photo""}",low,False,Search results for photo,synthetic_template,en,laptop_assistant
d7351ce13046,please look for photo documents when possible,search_files,"{""file_type"": ""pptx"", ""folder"": ""Videos"", ""query"": ""photo""}",search_files,"{""file_type"": ""pptx"", ""folder"": ""Videos"", ""query"": ""photo""}",low,False,Search results for photo,synthetic_paraphrase_wrapper,en,laptop_assistant
bcc49e8ea03c,jarvis show me pptx files related to assignment when possible,search_files,"{""file_type"": ""pptx"", ""folder"": ""Documents"", ""query"": ""assignment""}",search_files,"{""file_type"": ""pptx"", ""folder"": ""Documents"", ""query"": ""assignment""}",low,False,Search results for assignment,synthetic_paraphrase_wrapper,en,laptop_assistant
2c203e4f2b9e,can you look up weather in Gurgaon for me,search_web,"{""query"": ""weather in Gurgaon""}",search_web,"{""query"": ""weather in Gurgaon""}",low,False,Web search opened for weather in Gurgaon,synthetic_paraphrase_wrapper,en,laptop_assistant
a748c0e785a9,create a note called project bugs,create_note,"{""title"": ""project bugs""}",create_note,"{""content"": """", ""title"": ""project bugs""}",low,False,Note project bugs created,synthetic_template,en,laptop_assistant
5e9de89afb37,find photo files in Pictures,search_files,"{""file_type"": ""pptx"", ""folder"": ""Pictures"", ""query"": ""photo""}",search_files,"{""file_type"": ""pptx"", ""folder"": ""Pictures"", ""query"": ""photo""}",low,False,Search results for photo,synthetic_template,en,laptop_assistant
7f6006e42562,show me py files related to project report,search_files,"{""file_type"": ""py"", ""folder"": ""Videos"", ""query"": ""project report""}",search_files,"{""file_type"": ""py"", ""folder"": ""Videos"", ""query"": ""project report""}",low,False,Search results for project report,synthetic_template,en,laptop_assistant
41f84a3a2a98,jarvis look up best laptop under 60000 quickly,search_web,"{""query"": ""best laptop under 60000""}",search_web,"{""query"": ""best laptop under 60000""}",low,False,Web search opened for best laptop under 60000,synthetic_paraphrase_wrapper,en,laptop_assistant
0c9a5cf801a1,bring Notepad to the front,switch_app,"{""app"": ""notepad"", ""display_name"": ""Notepad""}",switch_application,"{""app"": ""notepad""}",low,False,Notepad handled,synthetic_template,en,laptop_assistant
